userName,score,at,content
Solikhin Gepe,4,2022-02-17 11:01:15,Semoga kemudahan dalam informasi buat masyarakat luas
Wan Wanputra,5,2022-02-17 11:00:45,Mantap mah praktis peduli lindungi
Maryo Faisal,5,2022-02-17 10:58:17,Menurut saya sudah bagus dan bug tersebut sudah di perbaiki. Terima kasih PeduliLindungi🙏🏼.
Vanessa Ray Parera,5,2022-02-17 10:55:44,🥰
Odi Supriadi,5,2022-02-17 10:51:46,Terimakasih peduliLindung
Muhammad Sofian,5,2022-02-17 10:51:44,Sangat berguna
Ari Senjaya,4,2022-02-17 10:48:11,Ok
Choman12 laia,5,2022-02-17 10:47:40,Ok
Masnur Siburian,5,2022-02-17 10:43:37,Ok
Kusnandar Nanjar,3,2022-02-17 10:41:36,Hmm masih belum baik
Salsabil dr,3,2022-02-17 10:36:50,BANTU JAWAB YA KNP SAYA TDK DAPAT TIKET VAKSIN DOSIS KE 3 ???
Novandar Liansyah,5,2022-02-17 10:31:31,Good job
Ismail Ismail,5,2022-02-17 10:30:34,Keren
nasruddin son,4,2022-02-17 10:21:42,"Ya, okelah ya👍👍👍👍"
Mansur Amin,5,2022-02-17 10:21:07,Proses Cepat tidak menunggu lama.
Kiranaaulia Ramadhina,5,2022-02-17 10:20:08,Enak
Satria Candra ernawan,4,2022-02-17 10:19:20,Sangat informatif
Muhamad Dekar,5,2022-02-17 10:15:02,Sangat manfaat
Andang Prawono,5,2022-02-17 10:14:27,ya sngat membantu
Kelfin Seghentha,5,2022-02-17 10:13:52,Bagus
Yopie Marpa,5,2022-02-17 10:11:00,Ok
TotolTigaTV Channel,5,2022-02-17 10:10:14,Mantaaap
bayu ziver Tv,5,2022-02-17 10:10:02,Terimakasih sudah melindungi kami sebagai warga indonesia
irpan maulana,3,2022-02-17 10:09:42,Keseringan minta diperbaharui mulu dah.
dendra purana,1,2022-02-17 10:07:17,"Kemarin saya ada ditempat kerja,,tapi kenapa ter scan in di Mcd,,aplikasi bikin rusuh rumah tangga aja,,bikin dicurigain terus ama bini..mohon kalo perbaikan aplikasi yang bener,,jangan malah tambah error."
Asep erwin,5,2022-02-17 10:06:06,Oke
Latif 212,5,2022-02-17 10:04:48,SAYA TIDAK MENDUKUNG STOP PEMBERITAN COVID-19 AGAR SEGERA HILANG
wahyu nurwahyullah,5,2022-02-17 10:04:17,Sangat membantu
Jufri Mas,5,2022-02-17 10:04:17,Ok
Nadah Nadah,5,2022-02-17 10:02:43,Sangat membantu bagi saya
Jona Sinambela,1,2022-02-17 10:01:33,bisnis doang
Kurniawan Kurniawan,5,2022-02-17 09:59:53,Koq klaim sertifikat susah banget ya padahal data udh lengkap???
Ahmad Dwi S,1,2022-02-17 09:59:31,aplikasi gajelas.
Iqbal darmaji,5,2022-02-17 09:56:58,Sangat membantu kami untu menajalankan aktifitas sehari hari
Haerul Optical,5,2022-02-17 09:56:31,"Asw Alhamdulilah sertifikat uda bisa keluar lagi,bintangnya sy naikan lg jadi 5.....makasih min."
Mahyadi zakizaki Zakizaki,5,2022-02-17 09:55:20,memuaskan
Muhammad Rokhish,1,2022-02-17 09:53:00,"Aplikasi sering tiba-tiba check out sendiri, entah itu karena jaringan atau karena aplikasi."
Selfi Makassar2020,5,2022-02-17 09:52:40,Mantap
Wulan Surahman,5,2022-02-17 09:51:19,Tadi saya cek in baru bisa mantab peduli lindungi untuk kita semua
nandan sukendar,5,2022-02-17 09:50:56,Terima kasih sudah memberi kemudahan
Yudi Awan,1,2022-02-17 09:50:33,"pertama dwonlod, aplikasi ini cukup lumayan bagus, tapi kenapa sertipikat vakcin yg sdh saya klaim,ko bisa hilang di aplikasinya, mohon dikoreksi lgi 🙏"
japno Japno,5,2022-02-17 09:50:05,Mhuantap
Hie Yanto,5,2022-02-17 09:49:45,Bagus
Nazla dewanti,4,2022-02-17 09:45:05,"Membantu dalam menjalankan aktivitas umum diruangan publik seperti diperkantoran,mall dll"
julfan syah,5,2022-02-17 09:44:35,Mantap
mohammad ilham,1,2022-02-17 09:42:44,"saya pengen tanya kenapa indonesia kasus positif covid-19 terbanyak, sedangkan china tidak ada satupun yg terkena covid-19, apakah ini permainan WHO ?"
Syarif akbar ramadhan,3,2022-02-17 09:39:46,88rnñ
Wandi Mapagandi,5,2022-02-17 09:35:54,Ok
winda pandu winata,5,2022-02-17 09:34:01,"jadwal booster blm ada, pdhl sdh lewat 6 bln, yg lain blm 6 bln sdh dpt jadwal booster"
W Sijabat,5,2022-02-17 09:31:16,Bagus.
Pardi P,1,2022-02-17 09:31:05,"Munculnya penyakit korona jadi banyak yang menguntungkan, bagi yang dapat bantuan, bagi saya yang ga dapat bantuan ya susah , kemana pepergian banyaknya peraturan,nabain biyaya tranpotasi."
LINA MARPAUNG,5,2022-02-17 09:29:22,Sangat baik pelayanannya dan bagus pelayanannya.
kim han,1,2022-02-17 09:28:41,Setiap buka sertifikat dan riwayat vaksin aplikasi pedulilindungi telah berhenti berjalan dan langsung otomatis keluar aplikasi. Tolong perbaikannya.
Sugeng Pribadi,5,2022-02-17 09:27:57,Kembali lagi Luar biasa sekali lagi lagi Luar biasa sekali tidak pernah ada yang kurang baik daripada peduli lindung.
Medi Medi,5,2022-02-17 09:26:07,Cukup membantu
Rifaldy Fakir,1,2022-02-17 09:25:44,"Susah bgt buat scan eror mulu , gimana mau bener"
yadotman girsang,5,2022-02-17 09:25:05,informasi akurat
Muhammad Ajuan Ritonga,5,2022-02-17 09:24:56,Aplikasinya ok.
den bagus,1,2022-02-17 09:24:31,😰😠Giliran ada masalah bingung mau ngadu kemana? Via email tdk ada respon. Telpon antri panjang.
Djoko Utomo,5,2022-02-17 09:21:43,Ok
Hary Purnomo,2,2022-02-17 09:21:36,"Aplikasi ini kurang bagus karena untuk klaim sertifikat vaksin kita harus memasukkan tanggal kita vaksin yg kadang kita lupa Krn kartu terselip kemana. Seharusnya langsung bisa muncul karena kita sudah memasukkan data kita, nama NIK, No. Telpon. Yang lebih menjengkelkan ketika kitaau ngecek hasil tes Covid -19, steleah sebelumnya datanya ada kita negatif, tapi beberapa hari kemudian kita mau ngecek lagi datanya sudah tidak ada dan keterangannya kita belum melakukan tes Covid. Amatiran."
Hanif Ganteng,5,2022-02-17 09:19:25,Jozzz
kenn hessa,4,2022-02-17 09:18:25,lumayan update tersedia
Frangky Haba Gea,5,2022-02-17 09:17:58,Sangat bagus
Anisa Heris,1,2022-02-17 09:16:24,Setiap minggu harus di update kenapa? Makin di update malah semakin eror apk nya
073 jennifer ferdiana,5,2022-02-17 09:15:17,👍👍👍
Dedik Santoso,5,2022-02-17 09:13:30,🖒🖒 sukses
Samsul Bakti,5,2022-02-17 09:11:39,"Bagus...................................,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,. .. . .,..,,.,.,. . . . . . .,.,.,.,.,..,.,.,.,.,.,..,.,.,.,..,.,..,.,.bgt Jgn liat bawah"
ken arok,5,2022-02-17 09:11:33,👍
Ikomang Budiarta,5,2022-02-17 09:11:21,Bagus
Lenggo Geni,5,2022-02-17 09:09:33,Good
Heni Rohaeni,5,2022-02-17 09:09:27,Manta
Danik Rias Pengantin Wedding Organizer,5,2022-02-17 09:08:34,Terima kasih ..
Mindom Mobile,1,2022-02-17 09:08:16,"Kenapa vacine date is not match,Saya tidak bisa melihat sertifikat karena itu"
Ari Wibowo,4,2022-02-17 09:08:02,Serrr
Yohan Tumurang,5,2022-02-17 09:07:18,Bravo staff PeduliLindungi Bekerja keras pantang menyerah Tuhan Memberkat hari demi hari Dan sehat slalu🙏
Daryoes Ghea,5,2022-02-17 09:05:02,Mntap
Nongronny S Day,5,2022-02-17 09:02:34,Mantap
jefrie nelwan,5,2022-02-17 09:01:18,Baik
Fauziyah Islamiyah,4,2022-02-17 09:00:05,Gk bisa d download
Jailani Official,5,2022-02-17 08:58:37,Bagus
Jodi Setiawan,5,2022-02-17 08:53:00,👍👍👍👍
Desjamuddin -,5,2022-02-17 08:47:13,Bagus
Mamat Suherman,5,2022-02-17 08:46:50,Mantap
Agus Sukarya,5,2022-02-17 08:45:20,Good aflikasi
Iah Siti Badriah,4,2022-02-17 08:43:36,Bagus sekali .
Nanda Hendriyani,1,2022-02-17 08:42:10,Apl gk brmutuuu...susah ..prfikasi
Imam Gjk,4,2022-02-17 08:40:34,"Saya mau rubah tanggal lahir saya di aplikasi karenakan salah input dari pihak panitia vaksin, sudah saya coba untuk merubah tetap kesulitan selalu di tolak.mohin bantuannya?"
Idham Kholid,3,2022-02-17 08:38:55,K Assalamualaikum Wr wb. disampaikan pada Ibu / Bapak KS Se Kec.Kabat . Sehubungan dg akan diadakannya refresing yg Insya Alloh dilaksanakan pada : Hari : sabtu Tgl : 11 pebruari 2022 Tujuan: pantai grajakan . setelah kita perhitungkan biaya sebesar Rp 100.000 / orang dg rincian : 1. Kercis Masuk 2. Kendaraan. 3. Konsumsi 1 × Untuk itu yang bersedia ikut silahkan mengisi list dibawah ini trimkasih. Wassalamu'alaikum Wr Wb. 1.Idham Khokid 2 muryoto 3. Khairul Anam 4. Ansori Suri
Karyanah Ana,5,2022-02-17 08:38:36,Mantaap
fahri fahri,1,2022-02-17 08:38:04,Terlalu sering di update dan sering eror
Yang Siong Hua,5,2022-02-17 08:32:55,Bagus sekali
Patra Suhendar,5,2022-02-17 08:31:10,Mantap..membantu bgd nii aplikasi..goodjob
Indah septianingsih,1,2022-02-17 08:29:18,"kenapa hasil swab test saya yg negatif gamuncul dipeduli lindungi saya sedangkan yg positif aja malah muncul berhari2, aneh bgt padahal samasama pcr"
Ani Rohani,5,2022-02-17 08:28:18,Membantu
Ari Awan,5,2022-02-17 08:26:37,Praktis 👍
Ari Nugraha,3,2022-02-17 08:25:24,Sangat membantu
bintang cokelat,5,2022-02-17 08:25:06,Keren
Hari Adi,1,2022-02-17 08:21:06,Gak mutu
ROBENI BARUS,5,2022-02-17 08:17:24,Baik
purnama0507 manulang,1,2022-02-17 08:16:34,"Kenapa app pedulilindungi saya jadi makin kacau ya kemarin tgl pelaksaan vaksin tidak sesuai di sertivicate, trs hari ini saya check certivicate vaksin saya yg pertama hilang😅😅😅😅😅"
Fajar Dirgantara,5,2022-02-17 08:11:49,Sangat Bermanfaat
Firdian Bagus,1,2022-02-17 08:10:33,"Aplikasi goblog ,gak ada fitur keyboard untuk mengisi tanggal lahir masak iya kelahiran di bawah tahun 70 geser2 muluu"
Kirito,5,2022-02-17 08:09:20,Sangat membantu memudahkan untuk bukti bahwa saya telah di vaksin
Babe Lucky,5,2022-02-17 08:07:41,Mantap 👍
Ilham galih,2,2022-02-17 08:04:13,Perasaan aplikasi update mulu lu
Gray wave,1,2022-02-17 08:02:39,"Kenapa ya klo hasilnya positive cepet banget update data di peduli lindunginya, sedangkan kalo negatif lama banget rubah setatusnya padahal udah pcr dan hasilnya negative kemarin. Tapidi PL gak ada update bahkan tanggal tes pcr juga gak update LUCUU YAHH...."
Suparman Maulana,5,2022-02-17 07:59:58,Good
Sjahril Mauludin Abdullah Lubis,2,2022-02-17 07:57:41,gimana sih kok aku gak bisa masuk?
Ni Made Ariani,1,2022-02-17 07:57:27,"Aplikasi minta di update, sudah. Saat mau melihat riwayat vaksin malah tidak kelihatan. Katanya ini aplikasi sudah terintegrasi dengan pendataan saat vaksin, malah tidak ada datanya. Dimanakah errornya sistem ini?"
Teguh Atri,5,2022-02-17 07:55:40,Membantu kelancaran te ntang covid 19
dwi endarto,2,2022-02-17 07:55:29,Menuh2in memory hp ajah
Yogi Hartoyo,5,2022-02-17 07:53:32,Ok
hermanto susilo,5,2022-02-17 07:50:46,ok
Mislan Mukhti,4,2022-02-17 07:50:20,asz €:^8 ●《■🐯🐗🐮
Black Itam,5,2022-02-17 07:48:01,Good luck 👍👍👍👍👍👍👍
Aad Arifin,1,2022-02-17 07:45:43,Gag jls
Edo Maulana Jati,2,2022-02-17 07:45:32,"mohon bantuanya ini sudah hampir 5 bulan saya divaksin dosis ke 2 tapi saya belum mendapat sertifikat dosis ke 2 , bagaiaman saya bisa dapat panggilan untuk booster nya nanti. sudah saya klaim berkali kali juga masih belum mau muncul , mohon bantuanya"
pramu Haryono,5,2022-02-17 07:44:26,Bagus untuk mengantisipasi dan pencegan
aYah taMp'fan.16,5,2022-02-17 07:41:38,hoohhhhh
kᥱу m᥆ᥴһіі :3,5,2022-02-17 07:41:04,Terima kasih
Novi Hendriyanto,4,2022-02-17 07:40:12,Knp mnta perbaruan trus
Malya Imaduddin,5,2022-02-17 07:38:24,Ok
Via Kh,2,2022-02-17 07:37:49,"Suka eror kalau discan, padahal penting buat kerja"
Lucky Dinata,1,2022-02-17 07:36:39,Kenapa yaa kalo sy klik sertifikat vaksin aplikasi nya langsung terhenti..tolong dong penjelasan nyaa
Irawan Yosi,5,2022-02-17 07:36:03,Alhamdulillah.....sehat
Irwan Susanto,4,2022-02-17 07:33:29,Akses ke mall jd lebih mudah dg adanya peduli lindungi. Kebetulan tempat kerja ada di perkantoran WTC Surabaya.
Abdulatief Halim,5,2022-02-17 07:29:49,Puas
hindun siti,5,2022-02-17 07:28:27,bagus sangat membantu
alis na,5,2022-02-17 07:26:59,ok
Asep Tatang,5,2022-02-17 07:24:33,Cepat infirmasinya
Sumardi Gunawan,5,2022-02-17 07:24:05,Ok
Robertus Boli Botoor,3,2022-02-17 07:23:47,Bagus tdk bertele tele
Rina tarihoran,3,2022-02-17 07:19:37,"Kok aplikasi ini gk bisa di download sih,,,"
Riandi Pramiadi,5,2022-02-17 07:14:09,Bagus
nina muniroh,3,2022-02-17 07:10:07,Saya sudah vaksin 2x 4 bulan lalu.. ini mau yg k 3 Tp sertifikat vaksin k2 ny blum kliar sampe skarang? Ini gimana y? Mhon bantuan ny?
SEMUA VIDEO,1,2022-02-17 07:08:04,Gak
Suprapto Hardi,5,2022-02-17 07:06:54,Sangat bagus utk mengontrol pertumbuhan covid 19 di seluruh negara kita
gus ros,5,2022-02-17 07:06:46,Mantap sekali
Ivan Mamentu,1,2022-02-17 07:05:22,ga layak
Hadi Winoto,5,2022-02-17 07:01:23,berfungsi Baik
Putri Wardani,5,2022-02-17 07:00:49,Bagus
Rosari Silitonga,5,2022-02-17 07:00:27,Bagus
edwin indriyanto,5,2022-02-17 07:00:10,Ok good
Agus Sukarya,5,2022-02-17 06:56:21,Goog aplikasi
Lutfi Lutfii,5,2022-02-17 06:48:49,Okelah
Ary Purwati,5,2022-02-17 06:48:18,Enak utk syarat terbang langsung bs dilihat
sulis tiawati,5,2022-02-17 06:46:29,Bagusss sangat bermanfaat
Muhamad Yusuf,5,2022-02-17 06:33:55,Saya sdh 2x vaksin pas sy cek di pl di katakan lom pernah vaksin.gmn seh pl.yg mna yg salah data ada di pl.yg ke 2 hp sy gti nomor baru krn nomor hp nta ilang.kok ga bisa di buka mau cek lgi.hr kmis tgl 10 sy swab sy rghu hail nya smpe saat ini di pl ga nongol2 .tlg gmn solusi smua ini.trima ksh
Martha Martha,5,2022-02-17 06:30:46,Sangat bermanfaat
Enda Yanti,5,2022-02-17 06:30:23,Oke
clarus santa,5,2022-02-17 06:28:55,Good job
RIDWAN,4,2022-02-17 06:26:34,Ok
Wisal Salens,4,2022-02-17 06:26:14,Yaaa admin....yesss
Favorit Musik,1,2022-02-17 06:25:59,Aplikasi tolol
Halim Syaifulloh,5,2022-02-17 06:23:51,Terimakasih
Andi Rahmat,1,2022-02-17 06:23:04,menyusahkan
Risna Wati,5,2022-02-17 06:20:12,Bagus
intan gacha1279,4,2022-02-17 06:20:05,Infonya terpercaya
Jenna12 Vin,5,2022-02-17 06:17:54,Ok
Adv Eri Midion Sidauruk,2,2022-02-17 06:16:40,"Sangat sulit mendapat info tentang Sertifikat Vaksinasi mulai dari sertifikat vaksinasi yang ke 1, ke 2, dan ke 3 atas.nama saya pd aplikasi Peduli Lindungi."
Abdurrahman 93,5,2022-02-17 06:15:41,Bagus..
Erni ghathfan,5,2022-02-17 06:15:02,Jos
desi tari,5,2022-02-17 06:15:00,Dapat mempermudah ppengguna
suparyono yono,5,2022-02-17 06:13:39,Bagus sangat membantu
Tony Tri Haryadi Haryadi,3,2022-02-17 06:10:52,Baik dan bisa buat jaga2 cek kondisi di aktivitas diluar ktr
densu ofisial,1,2022-02-17 06:09:40,Kenapa tidak bisa di download
Sumarlin Siregar,5,2022-02-17 06:09:34,Good
Tata Sugiharto,5,2022-02-17 06:09:09,Bagus..mudah di Acces
adhie nugroho,5,2022-02-17 06:07:30,👍
Suanto Win,5,2022-02-17 06:07:28,Manthab
Ayah Alfin,1,2022-02-17 06:03:07,Kok gak bisa masuk sih Gimana ini
playstation solo,4,2022-02-17 06:02:30,Alhamdulillah bisa tettolong oleh peduli lindungi
Kumbang Channel,1,2022-02-17 05:58:43,Hasil test saya ga masuk2...jadi status masih hitam padahal negatif...parah nih
Almuhadi,5,2022-02-17 05:58:28,Ok
Sevenk Dellon,1,2022-02-17 05:53:37,Uslese
Imron Apriandi,4,2022-02-17 05:53:15,Cacad dah sertifikasi gua kaga nongol.. fitur periksanya juga ga jalan ni aplikasi
Imelda Leony,5,2022-02-17 05:51:28,Jos
Dina Rahmayuni,1,2022-02-17 05:41:52,Ntah kek apapun.. Udh gk bisa dibuka disuruh update lagi. Gak jelas
Afrizal Afendi,5,2022-02-17 05:40:12,Kirim kode otp nya lama kaga masuk2 nyampe kiamat
yunan adharis,1,2022-02-17 05:40:00,mempersulit
serli mesah,5,2022-02-17 05:37:37,Aku suka
Musyafa' Uwuw,3,2022-02-17 05:36:43,Bagus
dessy anggraini,5,2022-02-17 05:33:44,Mantul
Makruf Tarigan,4,2022-02-17 05:32:55,Cukub baik
TFN,1,2022-02-17 05:31:37,Sering eror ga jelas
Aep Saepudin,5,2022-02-17 05:31:18,😁
Iyar Syahriar,5,2022-02-17 05:28:58,Keren...👍👍
Dedi Nugraha,5,2022-02-17 05:28:46,Keren
willy sidabutar,5,2022-02-17 05:28:12,Apl nya bagus!!!!!!!!!!!!!!!!!!!!!!????????!
Ratna Fatwa,5,2022-02-17 05:24:06,Ok
Tommy Siregar,5,2022-02-17 05:20:43,Sangat Penting agar Kesehatan kita tetap Terjaga...Bagus Sekali.
Panjul Perdana,4,2022-02-17 05:19:01,Mantab
IP Hone,5,2022-02-17 05:18:05,mantap
lilis rohaeti,5,2022-02-17 05:17:30,membantu sekali utk mengontrol perkmbngan penyebaran penyakit covid
FVP *,5,2022-02-17 05:15:16,👍👍👍👍👍👍
Sri Hartono,4,2022-02-17 05:09:51,Senang
Muhammad Azhari,4,2022-02-17 05:08:24,akurat
vina` pin,4,2022-02-17 05:06:41,"setiap saya ke suatu tempat yang mengharuskan scan barcode, knp waktu saya barcode dan ingin check-in selalu ada notif merah ""lengkapi profil anda"" dan waktu sudah di lengkapi dan ingin mencet selanjutnya notif merah lagi ""sesuai NIK dan NAMA anda dengan KTP"" padahal saya masih dibawah umur belum mempunyai KTP. tolong bantu ya"
Mutiara Novalentin,2,2022-02-17 05:06:06,Semenjak pl berubah penampilan sartifikat vaksin saya tidak bisa terbaca sama sekali walaupun sudah saya update terus menerus
KRISMANTO IE,5,2022-02-17 05:02:09,Ok Good
Muhammad Iqbal Al-Aisy,1,2022-02-17 04:57:27,Karena update ini fungsi aplikasi yang belum di update jadi sangat^2 sampah
Junaidin Ahmad,1,2022-02-17 04:55:15,sudah lakukan vaksin tiga kali tp kok sertifikat tidak muncul2
Yunita Riadi,3,2022-02-17 04:50:28,Tolong dong..kembalikan menu riwayat perjalanan sprti versi lama..karena versi baru ini kl cek out otomatis gak ad riwayatx..susahx kl shft malam..harus cek in trus cek out lagi krn harus d cek scurity..ribeeeet bgt
Joel Hartawan,3,2022-02-17 04:48:45,Susah masuk ke aplikasi
Erni apriyanti,5,2022-02-17 04:44:35,Mempermudah aktivitas masyarakat..
Dita Fitriyani,5,2022-02-17 04:38:32,Bagus
Badru Boy,5,2022-02-17 04:34:45,Sangat bagus
Ahmad Napolion,5,2022-02-17 04:32:50,Ok
Sakilah Rahmadani,5,2022-02-17 04:32:41,Mantap
David Lazuardi,5,2022-02-17 04:31:24,Sangat membantu
Bagas Sadewa,1,2022-02-17 04:31:10,"Tanggal nya gabisa kah di tulis manual, harus nge slide terus"
PUTRA PANDAWA FARM,5,2022-02-17 04:29:33,Mantap
Eti Desmawati,5,2022-02-17 04:28:12,👍👍👍👍👍👍👍
Zainal Abidin,5,2022-02-17 04:27:58,Mantap
Nanita 10,3,2022-02-17 04:27:30,Ok
Muhammad Aditya Rahmanto,1,2022-02-17 04:26:54,"Saya vaksin kedua tanggal 9/11/ 2021, dan sampe sekarang belum keluar sertifikat kedua..."
Agus Supriyadi,4,2022-02-17 04:24:40,Membantu banget
iwandiningrat,5,2022-02-17 04:21:08,Keren
roni sumantri,5,2022-02-17 04:19:32,Efektif 👍
Rachmat Himawan,5,2022-02-17 04:19:20,"Cepat n akurat syng nya sering lemot, gangguan kaliii..."
Sardi man,1,2022-02-17 04:17:36,Gh. Up
Widia Chelsiya,5,2022-02-17 04:14:34,Sangat berguna
Tya Bilqis Putri,1,2022-02-17 04:14:23,Pembodohan untuk masyarakat Indonesia
Fajri Akbar,5,2022-02-17 04:14:14,Bagus bgt apk ny
Satya Buana,5,2022-02-17 04:13:44,Top
bapak anto,5,2022-02-17 04:13:10,Bagus
omagerard Sitinjak,3,2022-02-17 04:09:26,Ribet haeus dioerbaharui mulu dah!!
Fatchur Rochim,1,2022-02-17 04:08:09,aplikasi taek a
Latlit Agus,4,2022-02-17 04:03:40,Terima kasih banyak dan bagus
Pesta Krishi Exaudi Hutapea,5,2022-02-17 04:03:34,Sangat membantu.
Ginantiri Ng,4,2022-02-17 04:02:17,Baik
Novi Khurotaayun,1,2022-02-17 04:00:24,Kenapa d app kmrin d cek sdh vaksin ke 2 skrng sertikifat mncul vaksin 1 trus d wa kemenkes eror trus yang nik salah yang nama salah .skrng d bandara malah jadi nunjukin kertas status vaksin dr pda d app yg eror sma yg wa
Rendi Setiawan,5,2022-02-17 03:58:25,Alhamdulillah akhirnya sertifikat saya keluar juga
Andes Sibarani,1,2022-02-17 03:56:53,Parahhhh lolaaa
Andri al Adiyansah,1,2022-02-17 03:56:44,Ya allah lindungi hamba dan keluarga tercinta hamba atas kiamat kecil ini amin
Jenik s,4,2022-02-17 03:56:24,"Selamat pagi ka , untuk daftar vaksin ke 3 kode nya ko ga muncul ya mohon solusinya"
Fajar tri laksono,5,2022-02-17 03:55:47,Ok
Indah Rahmanda,4,2022-02-17 03:55:08,Oke
Rajali Muhammad,2,2022-02-17 03:52:38,"., 0.0,,,00,0,0,,0,,,0000,00 ,,0000000. . ( 0"
Sebastian Luis,5,2022-02-17 03:46:52,bagus
wanto Januar,4,2022-02-17 03:45:06,Sangat membantu dengan adanya aplikasi ini
Linda Permatasari,5,2022-02-17 03:44:28,Aplikasi ini bener bener bagus banget bisa cek in klau sudah pulang sekolah atau kemna2
Tafsirin Irin,5,2022-02-17 03:44:19,Sangat membantu
David Alamsyah,5,2022-02-17 03:44:16,pokok'e TOP 😁👍
Hendra Ismansyah,5,2022-02-17 03:43:15,Ok
Raja Raju,5,2022-02-17 03:41:47,Mantap
I Wayan Selamet,4,2022-02-17 03:40:09,"Saya sudah vaksin ke-3 (booster), tgl 8 Pebruari 2022. Tapi sertipikat vaksin ke tiga kok tidak muncul di aplikasi peduli lindungi ya ?"
Triaz Setya,1,2022-02-17 03:40:03,Kurang sipp input input nya susah tanggal masak harus nyari ga tinggal ketik ya kalo ga km nok masuk daya km udah ada
Haydir pratama Saputra,5,2022-02-17 03:39:50,Baik
Radianto Andrianto,5,2022-02-17 03:39:03,Good
Ikram hidayat,4,2022-02-17 03:33:32,Lindungi dari eka Covid 😂
Oktavianus Tambi,5,2022-02-17 03:31:37,Mantap..
Ella Silalahi,2,2022-02-17 03:30:57,"Maaf nya min, di kasih bintang 2, semoga ada perbaikan untuk berikutnya.. 🙏🙏"
Muh.riski Pratama,5,2022-02-17 03:27:54,Saya suka banget
Albertus Mujiyono,5,2022-02-17 03:27:13,Mantap kemana2 jadi lebih mudah
Shofiah Jauziah,5,2022-02-17 03:26:43,NO HP NYA ILANG SOLUSINYA GIMANA YA
Agung Bargawa,5,2022-02-17 03:25:16,Kenapa harus terus diupdate perubahan
Carda Cardasa,5,2022-02-17 03:25:09,Baik
Habib Nuriqbal,5,2022-02-17 03:24:22,Sangat puas
Suhendar El dorado,4,2022-02-17 03:23:13,Alus pisan
Prasiswo atuk,5,2022-02-17 03:22:21,Terima kasih sudah sangat membantu.
Dian Santang,5,2022-02-17 03:21:50,Mantap
Zul Umar,5,2022-02-17 03:21:29,tidak ada masalah
Indra Darma,5,2022-02-17 03:20:59,Top
Rya Resti,5,2022-02-17 03:20:07,Kak saya kurang satu huruf gimana cara setingnya
suropati ributs,5,2022-02-17 03:19:40,Sangat membantu
Hanapi Long,5,2022-02-17 03:19:35,kamu memang hebat
Hafis Abdillah,5,2022-02-17 03:19:21,Mantap
alfi zarka,5,2022-02-17 03:17:54,Mantap josssssd
Nopi Hermawan,5,2022-02-17 03:16:09,Josss..👍👍
aditya wijaya,1,2022-02-17 03:12:55,Satisfied
Fauzan Hidayat,5,2022-02-17 03:12:52,Sangat bagus dan membantu.
